Title,Authors,Journal/Book,Publication Year,DOI
Advancements in Radar Point Cloud Processing for Macro Human Movements in Healthcare and Assisted Living Domains: A Review,S. Ahmed; S. Abdullah; S. H. Cho,IEEE Sensors Journal,2024,10.1109/JSEN.2024.3452110
mmHAT: 3D Human Arm Tracking with Joint Learning using Dynamic mmWave Point Cloud,R. Shi; S. Wang; R. Liu; W. Jiang; S. Wang,"2024 20th International Conference on Mobility, Sensing and Networking (MSN)",2024,10.1109/MSN63567.2024.00019
Automated Motawif Monitoring Hajjis through the Pilgrimage Period,R. Abdallah; S. Alshumayri; L. Bukassim; P. M. ElKafrawy,2025 22nd International Learning and Technology Conference (L&T),2025,10.1109/LT64002.2025.10941088
Early System Failure Detection through System Log Analysis: An LSTM Approach,T. Kumar; Yashika; A. Singhal; Yashvardhan; R. Priyadarshini,2024 15th International Conference on Computing Communication and Networking Technologies (ICCCNT),2024,10.1109/ICCCNT61001.2024.10725393
Complex Human Activity Recognition Based on Spatial LSTM and Deep Residual Convolutional Network Using Wearable Motion Sensors,Y. Tian; D. Hettiarachchi; H. Yu; S. Kamijo,IEEE Sensors Journal,2024,10.1109/JSEN.2024.3404777
Devising a Textual Analogous Computation-Centric Approach for Profiling Exercise Levels,G. Indira; S. Dev; U. C. Swadimath; M. R. Borade; G. R. Vijayshankar; P. Sharma,2024 IEEE 2nd International Conference on Innovations in High Speed Communication and Signal Processing (IHCSP),2024,10.1109/IHCSP63227.2024.10960093
Ontology-Based Data Collection for a Hybrid Outbreak Detection Method Using Social Media,G. Babanejaddehaki; A. An; H. Davoudi,IEEE Transactions on NanoBioscience,2024,10.1109/TNB.2024.3442912
Evaluation of Icons to Support Safety Risk Monitoring of Autonomous Small Unmanned Aircraft Systems,M. Friedrich; D. Richards; J. -P. Huttner,2024 IEEE 4th International Conference on Human-Machine Systems (ICHMS),2024,10.1109/ICHMS59971.2024.10555752
Enhancing Emotion Recognition in Speech Based on Self-Supervised Learning: Cross-Attention Fusion of Acoustic and Semantic Features,B. M. Deeb; A. V. Savchenko; I. Makarov,IEEE Access,2025,10.1109/ACCESS.2025.3554454
A Novel Design Approach to Implement Software Ecosystems for Territorial Monitoring,G. Zanfardino; A. Di Marco; M. Tucci,2025 IEEE/ACM 13th International Workshop on Software Engineering for Systems-of-Systems and Software Ecosystems (SESoS),2025,10.1109/SESoS66601.2025.00006
CBR-HAR: Real-Time Human Activity Recognition Based on CBR,F. Tian; Y. Jiang; C. Bao; B. Peng; F. Hong; Z. Guo,IEEE Wireless Communications Letters,2025,10.1109/LWC.2025.3565315
